## ROI	Slice	EdU	X	Y	Cy5	FociPerCell	Condition
30	5	656.6423736462094	339.0	232.0	844	1	Ctrl_H2O2
31	5	15095.89278598705	571.0	304.0	2875	6	Ctrl_H2O2
31	5	15095.89278598705	587.0	264.0	2122	6	Ctrl_H2O2
31	5	15095.89278598705	602.0	316.0	1862	6	Ctrl_H2O2
31	5	15095.89278598705	628.0	325.0	2639	6	Ctrl_H2O2
31	5	15095.89278598705	641.0	349.0	2159	6	Ctrl_H2O2
31	5	15095.89278598705	649.0	298.0	1850	6	Ctrl_H2O2
32	5	622.6333126406456	113.0	382.0	529	1	Ctrl_H2O2
33	5	12318.71808606248	821.0	503.0	2877	14	Ctrl_H2O2
33	5	12318.71808606248	831.0	526.0	2123	14	Ctrl_H2O2
33	5	12318.71808606248	837.0	426.0	2439	14	Ctrl_H2O2
33	5	12318.71808606248	847.0	533.0	2069	14	Ctrl_H2O2
33	5	12318.71808606248	875.0	573.0	1970	14	Ctrl_H2O2
33	5	12318.71808606248	882.0	455.0	2757	14	Ctrl_H2O2
33	5	12318.71808606248	886.0	515.0	2013	14	Ctrl_H2O2
33	5	12318.71808606248	894.0	458.0	2526	14	Ctrl_H2O2
33	5	12318.71808606248	897.0	390.0	3079	14	Ctrl_H2O2
33	5	12318.71808606248	910.0	479.0	2545	14	Ctrl_H2O2
33	5	12318.71808606248	911.0	433.0	2159	14	Ctrl_H2O2
33	5	12318.71808606248	922.0	400.0	2254	14	Ctrl_H2O2
33	5	12318.71808606248	929.0	502.0	3077	14	Ctrl_H2O2
33	5	12318.71808606248	938.0	456.0	2951	14	Ctrl_H2O2
34	5	15585.638974549507	274.0	488.0	1799	5	Ctrl_H2O2
34	5	15585.638974549507	295.0	499.0	1906	5	Ctrl_H2O2
34	5	15585.638974549507	366.0	447.0	2231	5	Ctrl_H2O2
34	5	15585.638974549507	382.0	510.0	1951	5	Ctrl_H2O2
34	5	15585.638974549507	405.0	470.0	2231	5	Ctrl_H2O2
35	5	21617.354029566046	672.0	705.0	2736	2	Ctrl_H2O2
35	5	21617.354029566046	680.0	786.0	1608	2	Ctrl_H2O2
36	5	13618.623982183868	58.0	704.0	2154	7	Ctrl_H2O2
36	5	13618.623982183868	82.0	749.0	2069	7	Ctrl_H2O2
36	5	13618.623982183868	91.0	790.0	2955	7	Ctrl_H2O2
36	5	13618.623982183868	108.0	825.0	1803	7	Ctrl_H2O2
36	5	13618.623982183868	145.0	652.0	2200	7	Ctrl_H2O2
36	5	13618.623982183868	155.0	690.0	2035	7	Ctrl_H2O2
36	5	13618.623982183868	167.0	680.0	2725	7	Ctrl_H2O2
37	5	9540.109030123154	446.0	894.0	2242	20	Ctrl_H2O2
37	5	9540.109030123154	469.0	884.0	3397	20	Ctrl_H2O2
37	5	9540.109030123154	494.0	842.0	2230	20	Ctrl_H2O2
