## prominence	m	log(prominece)	log(m)
50	54346	3.912023005428146	10.903126292784842
100	29998	4.605170185988092	10.308885991755306
150	18354	5.0106352940962555	9.817602813378958
200	11943	5.298317366548036	9.387900611668426
250	8307	5.521460917862246	9.02485381183907
300	6147	5.703782474656201	8.72371943690701
350	4804	5.857933154483459	8.477204183199873
400	3914	5.991464547107982	8.272315147956022
450	3320	6.1092475827643655	8.107720061910534
500	2870	6.214608098422191	7.962067308753666
