## ROI	Slice	EdU	FociPerCell	FociPerCellNoise	Condition
117	16	762.2124190680667	1	1.0	shSTN1_H2O2
118	16	614.9890910571091	1	1.5	shSTN1_H2O2
119	16	607.6950579333176	1	1.5	shSTN1_H2O2
120	16	11382.251114761793	1	1.0	shSTN1_H2O2
121	16	720.6277655770732	1	1.0	shSTN1_H2O2
122	16	18564.853175448312	1	1.0	shSTN1_H2O2
123	16	12998.786625665503	1	1.0	shSTN1_H2O2
124	17	764.3392043729123	1	0.5	shSTN1_H2O2
125	17	9659.398060954678	1	1.0	shSTN1_H2O2
126	17	15274.373321764544	1	0.5	shSTN1_H2O2
127	17	13616.188508625486	1	1.0	shSTN1_H2O2
128	17	10828.553835125447	1	1.5	shSTN1_H2O2
129	17	19646.50398106305	1	0.5	shSTN1_H2O2
130	17	15743.685365089314	1	1.0	shSTN1_H2O2
131	17	18957.213872142303	1	1.0	shSTN1_H2O2
132	18	12039.488101240295	1	0.5	shSTN1_H2O2
133	18	639.9786052744938	1	0.5	shSTN1_H2O2
134	18	722.7545616018085	1	0.5	shSTN1_H2O2
135	18	9134.42431631287	1	1.0	shSTN1_H2O2
136	18	13358.760576831248	1	1.5	shSTN1_H2O2
137	18	1360.746278317152	1	0.5	shSTN1_H2O2
138	18	696.9860869565217	1	1.0	shSTN1_H2O2
139	18	18130.391134544036	1	1.5	shSTN1_H2O2
140	18	10484.487204472025	1	1.0	shSTN1_H2O2
141	18	5906.750466571522	1	0.5	shSTN1_H2O2
142	18	801.3797621447288	1	0.5	shSTN1_H2O2
143	19	521.0023521110196	1	1.5	shSTN1
144	19	17373.148678928206	6	6.0	shSTN1
145	19	25035.146225262644	7	7.5	shSTN1
146	19	22321.236751177923	13	13.5	shSTN1
147	19	558.6075085324233	1	1.0	shSTN1
148	19	864.9236713665944	1	1.5	shSTN1
149	19	561.8880696719283	1	0.5	shSTN1
150	19	560.9903604134312	1	0.5	shSTN1
151	19	909.126617375231	1	1.0	shSTN1
152	20	541.1683418496266	1	1.0	shSTN1
153	20	3807.994437430961	3	2.5	shSTN1
154	20	12893.940973033603	2	2.0	shSTN1
155	20	5944.244198416138	6	6.0	shSTN1
156	20	13657.982908196296	7	7.5	shSTN1
157	20	7793.223391046424	4	4.5	shSTN1
158	20	20973.707088607596	10	9.5	shSTN1
159	20	2536.307365271818	6	6.0	shSTN1
160	21	499.0184966951888	1	1.5	shSTN1
161	21	523.6429082774049	2	2.5	shSTN1
162	21	525.6097908745247	1	1.0	shSTN1
163	21	12441.478916294542	15	14.5	shSTN1
164	21	18043.18104746058	10	10.0	shSTN1
165	21	562.4215980221977	1	1.5	shSTN1
166	22	28380.52427648888	14	14.5	shSTN1
167	22	19575.86078886311	2	2.0	shSTN1
168	22	22784.791408954206	8	8.0	shSTN1
169	22	29348.529092685556	6	5.5	shSTN1
170	22	13165.636794527241	12	11.5	shSTN1
171	22	14555.17182863984	4	4.0	shSTN1
172	23	560.9041259241593	1	1.0	shSTN1
173	23	596.636887300656	1	1.5	shSTN1
174	23	797.3757472876227	1	1.0	shSTN1
175	23	602.8317085684967	1	1.0	shSTN1
176	23	566.9420917396269	1	1.0	shSTN1
177	23	583.4938916876574	1	1.5	shSTN1
178	23	612.3119606107546	1	0.5	shSTN1
179	23	584.9398603901915	2	1.5	shSTN1
180	23	618.8469488474714	1	1.0	shSTN1
181	24	533.966944801027	1	1.5	shSTN1
182	24	599.1731507928691	2	2.0	shSTN1
183	24	548.6129671461974	2	2.5	shSTN1
184	24	632.015694089805	1	1.0	shSTN1
185	24	530.9761952692501	1	0.5	shSTN1
186	24	607.8946814482177	1	1.0	shSTN1
187	24	625.2119123800147	1	1.5	shSTN1
