## prominence	m	log(prominece)	log(m)
500	18748	6.214608098422191	9.838842359042596
1000	6770	6.907755278982137	8.820256365906321
1500	4032	7.313220387090301	8.302017809751204
2000	2860	7.600902459542082	7.958576903813898
2500	2120	7.824046010856292	7.659171367666058
3000	1599	8.006367567650246	7.377133712833954
3500	1260	8.160518247477505	7.138866999945524
4000	992	8.294049640102028	6.899723107284872
4500	799	8.411832675758411	6.683360945766275
5000	639	8.517193191416238	6.459904454377535
