## prominence	m	log(prominece)	log(m)
50	60869	3.912023005428146	11.01647929289894
100	22919	4.605170185988092	10.039721539859407
150	10540	5.0106352940962555	9.262932822095353
200	6062	5.298317366548036	8.709795057617749
250	4189	5.521460917862246	8.340217320947035
300	3319	5.703782474656201	8.107418811719974
350	2774	5.857933154483459	7.928045600874777
400	2425	5.991464547107982	7.793586803371584
450	2137	6.1092475827643655	7.667158255319148
500	1901	6.214608098422191	7.550135342488429
