## ROI	Slice	EdU	X	Y	Cy5	FociPerCell	Condition
1	1	24335.251302150482	343.0	137.0	591	1	Ctrl_H2O2
12	2	20436.913611691023	737.0	488.0	721	1	Ctrl_H2O2
20	3	24682.839842485704	456.0	568.0	632	1	Ctrl_H2O2
27	4	20330.546848504528	983.0	337.0	585	1	Ctrl_H2O2
32	5	3603.8293070806512	219.0	276.0	1331	3	Ctrl_H2O2
32	5	3603.8293070806512	272.0	288.0	1064	3	Ctrl_H2O2
32	5	3603.8293070806512	308.0	175.0	1165	3	Ctrl_H2O2
34	5	5165.903342926721	391.0	362.0	1100	5	Ctrl_H2O2
34	5	5165.903342926721	434.0	409.0	1735	5	Ctrl_H2O2
34	5	5165.903342926721	458.0	414.0	1533	5	Ctrl_H2O2
34	5	5165.903342926721	459.0	380.0	1520	5	Ctrl_H2O2
34	5	5165.903342926721	500.0	367.0	1097	5	Ctrl_H2O2
39	6	636.1133207300226	345.0	233.0	1268	12	Ctrl_H2O2
39	6	636.1133207300226	392.0	169.0	1236	12	Ctrl_H2O2
39	6	636.1133207300226	399.0	243.0	1515	12	Ctrl_H2O2
39	6	636.1133207300226	400.0	122.0	1979	12	Ctrl_H2O2
39	6	636.1133207300226	404.0	108.0	1206	12	Ctrl_H2O2
39	6	636.1133207300226	419.0	224.0	1729	12	Ctrl_H2O2
39	6	636.1133207300226	429.0	104.0	1622	12	Ctrl_H2O2
39	6	636.1133207300226	436.0	129.0	1480	12	Ctrl_H2O2
39	6	636.1133207300226	445.0	265.0	1173	12	Ctrl_H2O2
39	6	636.1133207300226	450.0	206.0	2449	12	Ctrl_H2O2
39	6	636.1133207300226	451.0	118.0	1902	12	Ctrl_H2O2
39	6	636.1133207300226	456.0	241.0	1200	12	Ctrl_H2O2
44	6	1474.41617342409	13.0	518.0	1621	17	Ctrl_H2O2
44	6	1474.41617342409	27.0	491.0	2001	17	Ctrl_H2O2
44	6	1474.41617342409	29.0	582.0	1325	17	Ctrl_H2O2
44	6	1474.41617342409	51.0	550.0	1074	17	Ctrl_H2O2
44	6	1474.41617342409	70.0	589.0	1207	17	Ctrl_H2O2
44	6	1474.41617342409	81.0	544.0	1092	17	Ctrl_H2O2
44	6	1474.41617342409	89.0	450.0	1612	17	Ctrl_H2O2
44	6	1474.41617342409	96.0	472.0	1775	17	Ctrl_H2O2
44	6	1474.41617342409	125.0	482.0	1136	17	Ctrl_H2O2
44	6	1474.41617342409	125.0	518.0	1701	17	Ctrl_H2O2
44	6	1474.41617342409	127.0	497.0	1081	17	Ctrl_H2O2
44	6	1474.41617342409	128.0	554.0	1186	17	Ctrl_H2O2
44	6	1474.41617342409	159.0	509.0	1061	17	Ctrl_H2O2
44	6	1474.41617342409	170.0	557.0	1016	17	Ctrl_H2O2
44	6	1474.41617342409	175.0	516.0	1409	17	Ctrl_H2O2
44	6	1474.41617342409	187.0	623.0	1240	17	Ctrl_H2O2
44	6	1474.41617342409	210.0	544.0	1204	17	Ctrl_H2O2
46	7	9494.424694589878	568.0	179.0	1349	4	Ctrl_H2O2
46	7	9494.424694589878	588.0	205.0	1491	4	Ctrl_H2O2
46	7	9494.424694589878	603.0	221.0	1406	4	Ctrl_H2O2
46	7	9494.424694589878	670.0	196.0	2185	4	Ctrl_H2O2
47	7	18014.407754301894	177.0	250.0	1058	1	Ctrl_H2O2
49	7	9509.47668418538	169.0	465.0	1150	7	Ctrl_H2O2
49	7	9509.47668418538	202.0	430.0	1221	7	Ctrl_H2O2
49	7	9509.47668418538	223.0	391.0	1770	7	Ctrl_H2O2
49	7	9509.47668418538	234.0	429.0	1235	7	Ctrl_H2O2
49	7	9509.47668418538	277.0	420.0	1134	7	Ctrl_H2O2
49	7	9509.47668418538	281.0	381.0	2677	7	Ctrl_H2O2
49	7	9509.47668418538	299.0	404.0	2486	7	Ctrl_H2O2
50	7	896.0212806294137	511.0	483.0	1347	1	Ctrl_H2O2
51	7	10298.874960158093	109.0	637.0	1392	2	Ctrl_H2O2
51	7	10298.874960158093	199.0	734.0	1229	2	Ctrl_H2O2
55	8	4417.479756097561	148.0	391.0	1390	7	Ctrl_H2O2
55	8	4417.479756097561	173.0	301.0	1122	7	Ctrl_H2O2
55	8	4417.479756097561	197.0	406.0	1373	7	Ctrl_H2O2
55	8	4417.479756097561	199.0	378.0	2092	7	Ctrl_H2O2
55	8	4417.479756097561	212.0	391.0	1200	7	Ctrl_H2O2
55	8	4417.479756097561	221.0	396.0	1239	7	Ctrl_H2O2
55	8	4417.479756097561	224.0	370.0	1117	7	Ctrl_H2O2
57	8	7098.963548740417	478.0	547.0	1125	4	Ctrl_H2O2
57	8	7098.963548740417	553.0	522.0	1171	4	Ctrl_H2O2
57	8	7098.963548740417	583.0	583.0	1284	4	Ctrl_H2O2
57	8	7098.963548740417	598.0	559.0	1045	4	Ctrl_H2O2
63	9	4664.504491541901	304.0	306.0	2865	2	Ctrl
63	9	4664.504491541901	421.0	339.0	1498	2	Ctrl
65	9	24066.755920758653	524.0	774.0	1171	7	Ctrl
65	9	24066.755920758653	545.0	740.0	1635	7	Ctrl
65	9	24066.755920758653	552.0	792.0	1113	7	Ctrl
65	9	24066.755920758653	554.0	691.0	1091	7	Ctrl
65	9	24066.755920758653	578.0	729.0	2092	7	Ctrl
65	9	24066.755920758653	601.0	722.0	1877	7	Ctrl
65	9	24066.755920758653	603.0	663.0	1238	7	Ctrl
66	9	2188.7399508181215	134.0	852.0	1801	2	Ctrl
66	9	2188.7399508181215	158.0	836.0	1992	2	Ctrl
68	10	32030.413393432067	328.0	130.0	1569	15	Ctrl
68	10	32030.413393432067	331.0	141.0	2012	15	Ctrl
68	10	32030.413393432067	350.0	136.0	1326	15	Ctrl
68	10	32030.413393432067	382.0	197.0	1744	15	Ctrl
68	10	32030.413393432067	414.0	119.0	1143	15	Ctrl
68	10	32030.413393432067	419.0	172.0	1079	15	Ctrl
68	10	32030.413393432067	428.0	290.0	1418	15	Ctrl
68	10	32030.413393432067	433.0	252.0	1091	15	Ctrl
68	10	32030.413393432067	449.0	145.0	1022	15	Ctrl
68	10	32030.413393432067	477.0	271.0	1607	15	Ctrl
68	10	32030.413393432067	480.0	186.0	1149	15	Ctrl
68	10	32030.413393432067	481.0	285.0	1260	15	Ctrl
68	10	32030.413393432067	488.0	158.0	1137	15	Ctrl
68	10	32030.413393432067	492.0	263.0	1240	15	Ctrl
68	10	32030.413393432067	524.0	232.0	1387	15	Ctrl
69	10	38706.64192886457	674.0	289.0	1198	23	Ctrl
69	10	38706.64192886457	679.0	324.0	1344	23	Ctrl
69	10	38706.64192886457	690.0	317.0	2627	23	Ctrl
69	10	38706.64192886457	707.0	272.0	1294	23	Ctrl
69	10	38706.64192886457	724.0	345.0	1293	23	Ctrl
69	10	38706.64192886457	752.0	293.0	1493	23	Ctrl
69	10	38706.64192886457	761.0	425.0	1309	23	Ctrl
69	10	38706.64192886457	766.0	287.0	1293	23	Ctrl
69	10	38706.64192886457	774.0	378.0	1278	23	Ctrl
69	10	38706.64192886457	778.0	412.0	1363	23	Ctrl
69	10	38706.64192886457	782.0	329.0	2240	23	Ctrl
69	10	38706.64192886457	783.0	292.0	1045	23	Ctrl
69	10	38706.64192886457	786.0	413.0	1771	23	Ctrl
69	10	38706.64192886457	788.0	366.0	1624	23	Ctrl
69	10	38706.64192886457	792.0	393.0	1261	23	Ctrl
69	10	38706.64192886457	794.0	311.0	1515	23	Ctrl
69	10	38706.64192886457	795.0	351.0	1866	23	Ctrl
69	10	38706.64192886457	809.0	340.0	1122	23	Ctrl
69	10	38706.64192886457	820.0	427.0	1566	23	Ctrl
69	10	38706.64192886457	832.0	378.0	1759	23	Ctrl
69	10	38706.64192886457	835.0	474.0	1412	23	Ctrl
69	10	38706.64192886457	838.0	384.0	1477	23	Ctrl
69	10	38706.64192886457	845.0	397.0	2150	23	Ctrl
70	10	25910.088232178794	147.0	379.0	1390	11	Ctrl
70	10	25910.088232178794	150.0	425.0	1469	11	Ctrl
70	10	25910.088232178794	160.0	331.0	1207	11	Ctrl
70	10	25910.088232178794	171.0	435.0	1199	11	Ctrl
70	10	25910.088232178794	182.0	400.0	1496	11	Ctrl
70	10	25910.088232178794	203.0	435.0	1049	11	Ctrl
70	10	25910.088232178794	221.0	397.0	1114	11	Ctrl
70	10	25910.088232178794	223.0	367.0	1179	11	Ctrl
70	10	25910.088232178794	260.0	451.0	1144	11	Ctrl
70	10	25910.088232178794	298.0	385.0	1455	11	Ctrl
70	10	25910.088232178794	311.0	445.0	2182	11	Ctrl
72	10	26692.536110559322	595.0	604.0	1832	17	Ctrl
72	10	26692.536110559322	602.0	600.0	1775	17	Ctrl
72	10	26692.536110559322	616.0	641.0	1402	17	Ctrl
72	10	26692.536110559322	621.0	540.0	1141	17	Ctrl
72	10	26692.536110559322	632.0	614.0	3325	17	Ctrl
72	10	26692.536110559322	651.0	639.0	2012	17	Ctrl
72	10	26692.536110559322	655.0	596.0	1925	17	Ctrl
72	10	26692.536110559322	678.0	646.0	1537	17	Ctrl
72	10	26692.536110559322	682.0	517.0	1093	17	Ctrl
72	10	26692.536110559322	687.0	659.0	1153	17	Ctrl
72	10	26692.536110559322	699.0	528.0	1695	17	Ctrl
72	10	26692.536110559322	705.0	664.0	1092	17	Ctrl
72	10	26692.536110559322	712.0	608.0	1446	17	Ctrl
72	10	26692.536110559322	723.0	590.0	1098	17	Ctrl
72	10	26692.536110559322	727.0	722.0	1377	17	Ctrl
72	10	26692.536110559322	728.0	624.0	1369	17	Ctrl
72	10	26692.536110559322	767.0	701.0	1536	17	Ctrl
74	10	28813.6624068541	424.0	865.0	1212	18	Ctrl
74	10	28813.6624068541	435.0	839.0	1512	18	Ctrl
74	10	28813.6624068541	445.0	838.0	1414	18	Ctrl
74	10	28813.6624068541	455.0	870.0	1557	18	Ctrl
74	10	28813.6624068541	457.0	791.0	2059	18	Ctrl
74	10	28813.6624068541	493.0	842.0	1099	18	Ctrl
74	10	28813.6624068541	505.0	813.0	1198	18	Ctrl
74	10	28813.6624068541	511.0	904.0	2295	18	Ctrl
74	10	28813.6624068541	519.0	807.0	1183	18	Ctrl
74	10	28813.6624068541	533.0	920.0	1747	18	Ctrl
74	10	28813.6624068541	534.0	850.0	1148	18	Ctrl
74	10	28813.6624068541	537.0	784.0	1732	18	Ctrl
74	10	28813.6624068541	541.0	893.0	1125	18	Ctrl
74	10	28813.6624068541	548.0	874.0	1252	18	Ctrl
74	10	28813.6624068541	559.0	896.0	1896	18	Ctrl
74	10	28813.6624068541	567.0	898.0	2602	18	Ctrl
74	10	28813.6624068541	576.0	861.0	1523	18	Ctrl
74	10	28813.6624068541	582.0	852.0	1226	18	Ctrl
75	10	20256.821147572442	713.0	908.0	1132	3	Ctrl
75	10	20256.821147572442	720.0	981.0	1610	3	Ctrl
75	10	20256.821147572442	736.0	954.0	1264	3	Ctrl
76	10	19044.19177366378	270.0	895.0	1803	6	Ctrl
76	10	19044.19177366378	283.0	959.0	1507	6	Ctrl
76	10	19044.19177366378	289.0	839.0	1269	6	Ctrl
76	10	19044.19177366378	293.0	903.0	1281	6	Ctrl
76	10	19044.19177366378	306.0	920.0	1772	6	Ctrl
76	10	19044.19177366378	314.0	975.0	1527	6	Ctrl
77	11	17688.208576186513	275.0	250.0	1214	4	Ctrl
77	11	17688.208576186513	333.0	273.0	1240	4	Ctrl
77	11	17688.208576186513	379.0	254.0	1102	4	Ctrl
77	11	17688.208576186513	408.0	225.0	2570	4	Ctrl
80	11	18198.674992642733	479.0	552.0	1170	4	Ctrl
80	11	18198.674992642733	513.0	505.0	1991	4	Ctrl
80	11	18198.674992642733	556.0	492.0	1464	4	Ctrl
80	11	18198.674992642733	568.0	574.0	1658	4	Ctrl
81	11	11941.302831652443	234.0	604.0	2143	4	Ctrl
81	11	11941.302831652443	236.0	712.0	2154	4	Ctrl
81	11	11941.302831652443	263.0	715.0	1052	4	Ctrl
81	11	11941.302831652443	279.0	698.0	1153	4	Ctrl
83	11	12739.264503917599	771.0	863.0	1663	6	Ctrl
83	11	12739.264503917599	772.0	848.0	1807	6	Ctrl
83	11	12739.264503917599	802.0	820.0	2192	6	Ctrl
83	11	12739.264503917599	814.0	861.0	1243	6	Ctrl
83	11	12739.264503917599	828.0	867.0	1237	6	Ctrl
83	11	12739.264503917599	874.0	867.0	1371	6	Ctrl
84	11	24221.502568248834	242.0	866.0	1194	2	Ctrl
84	11	24221.502568248834	308.0	869.0	1463	2	Ctrl
85	11	10979.347333065396	610.0	934.0	1743	1	Ctrl
91	12	36154.06904087994	327.0	613.0	1069	1	Ctrl
93	12	33687.992888701876	87.0	885.0	1108	9	Ctrl
93	12	33687.992888701876	99.0	869.0	1175	9	Ctrl
93	12	33687.992888701876	115.0	836.0	1327	9	Ctrl
93	12	33687.992888701876	121.0	903.0	1261	9	Ctrl
93	12	33687.992888701876	126.0	856.0	1091	9	Ctrl
93	12	33687.992888701876	167.0	839.0	1242	9	Ctrl
93	12	33687.992888701876	184.0	893.0	1420	9	Ctrl
93	12	33687.992888701876	202.0	845.0	1238	9	Ctrl
93	12	33687.992888701876	214.0	898.0	2562	9	Ctrl
94	13	21222.205292702485	532.0	168.0	1191	7	Ctrl
94	13	21222.205292702485	589.0	153.0	1415	7	Ctrl
94	13	21222.205292702485	600.0	145.0	2191	7	Ctrl
94	13	21222.205292702485	602.0	121.0	1207	7	Ctrl
94	13	21222.205292702485	631.0	160.0	2534	7	Ctrl
94	13	21222.205292702485	641.0	184.0	2538	7	Ctrl
94	13	21222.205292702485	672.0	132.0	1299	7	Ctrl
96	13	16681.617284940847	719.0	387.0	1514	2	Ctrl
96	13	16681.617284940847	773.0	419.0	1062	2	Ctrl
98	13	23438.639379326436	36.0	584.0	1239	12	Ctrl
98	13	23438.639379326436	36.0	621.0	1625	12	Ctrl
98	13	23438.639379326436	54.0	513.0	1500	12	Ctrl
98	13	23438.639379326436	62.0	493.0	1091	12	Ctrl
98	13	23438.639379326436	75.0	586.0	1978	12	Ctrl
98	13	23438.639379326436	98.0	645.0	1790	12	Ctrl
98	13	23438.639379326436	99.0	528.0	1783	12	Ctrl
98	13	23438.639379326436	105.0	575.0	1180	12	Ctrl
98	13	23438.639379326436	106.0	635.0	1607	12	Ctrl
98	13	23438.639379326436	122.0	522.0	1360	12	Ctrl
98	13	23438.639379326436	135.0	582.0	1844	12	Ctrl
98	13	23438.639379326436	153.0	594.0	1468	12	Ctrl
99	13	22833.81692692606	328.0	577.0	2171	9	Ctrl
99	13	22833.81692692606	330.0	559.0	1480	9	Ctrl
99	13	22833.81692692606	346.0	587.0	1491	9	Ctrl
99	13	22833.81692692606	401.0	598.0	1528	9	Ctrl
99	13	22833.81692692606	415.0	603.0	1251	9	Ctrl
99	13	22833.81692692606	418.0	575.0	1278	9	Ctrl
99	13	22833.81692692606	437.0	538.0	2469	9	Ctrl
99	13	22833.81692692606	437.0	561.0	1542	9	Ctrl
99	13	22833.81692692606	449.0	571.0	1128	9	Ctrl
101	13	31264.562384697543	746.0	832.0	1073	3	Ctrl
101	13	31264.562384697543	784.0	846.0	1404	3	Ctrl
101	13	31264.562384697543	799.0	779.0	1536	3	Ctrl
102	13	26828.002702394093	487.0	807.0	1627	9	Ctrl
102	13	26828.002702394093	491.0	826.0	1446	9	Ctrl
102	13	26828.002702394093	504.0	765.0	1764	9	Ctrl
102	13	26828.002702394093	521.0	815.0	1242	9	Ctrl
102	13	26828.002702394093	540.0	821.0	1232	9	Ctrl
102	13	26828.002702394093	543.0	850.0	2418	9	Ctrl
102	13	26828.002702394093	566.0	897.0	1840	9	Ctrl
102	13	26828.002702394093	621.0	800.0	1323	9	Ctrl
102	13	26828.002702394093	627.0	813.0	1821	9	Ctrl
