## ROI	Slice	EdU	FociPerCell	FociPerCellNoise	Condition
1	1	24335.251302150482	1	1.0	Ctrl_H2O2
2	1	22083.406162464988	0	-0.5	Ctrl_H2O2
3	1	385.62705322297035	0	-0.5	Ctrl_H2O2
4	1	400.8037252698607	0	-0.5	Ctrl_H2O2
5	1	3023.2674041376376	0	0.0	Ctrl_H2O2
6	1	15337.401862570496	0	-0.5	Ctrl_H2O2
7	1	7564.411165892243	0	0.0	Ctrl_H2O2
8	1	16511.43778383288	0	0.0	Ctrl_H2O2
9	2	466.20784696640186	0	0.0	Ctrl_H2O2
10	2	582.9558405294999	0	0.0	Ctrl_H2O2
11	2	395.3482798608427	0	0.5	Ctrl_H2O2
12	2	20436.913611691023	1	1.5	Ctrl_H2O2
13	2	14284.881001082902	0	0.0	Ctrl_H2O2
14	2	17595.844016714083	0	0.0	Ctrl_H2O2
15	2	24466.16029936472	0	0.5	Ctrl_H2O2
16	3	18175.225843257507	0	0.0	Ctrl_H2O2
17	3	18293.31631210686	0	0.0	Ctrl_H2O2
18	3	15682.370638057595	0	-0.5	Ctrl_H2O2
19	3	17423.19236374235	0	0.0	Ctrl_H2O2
20	3	24682.839842485704	1	1.0	Ctrl_H2O2
21	3	17203.407097937463	0	0.0	Ctrl_H2O2
22	3	20359.43326297187	0	0.0	Ctrl_H2O2
23	3	25327.33611155001	0	-0.5	Ctrl_H2O2
24	4	14970.876262715768	0	-0.5	Ctrl_H2O2
25	4	10265.640937346272	0	0.0	Ctrl_H2O2
26	4	12925.958087980604	0	-0.5	Ctrl_H2O2
27	4	20330.546848504528	1	0.5	Ctrl_H2O2
28	4	776.0193403618749	0	0.5	Ctrl_H2O2
29	4	19267.305221025785	0	-0.5	Ctrl_H2O2
30	4	25120.958792661597	0	-0.5	Ctrl_H2O2
31	5	9697.974901672278	0	0.0	Ctrl_H2O2
32	5	3603.8293070806512	3	3.5	Ctrl_H2O2
33	5	770.2918121134178	0	0.0	Ctrl_H2O2
34	5	5165.903342926721	5	5.5	Ctrl_H2O2
35	5	15659.912182721566	0	-0.5	Ctrl_H2O2
36	5	359.4983448182678	0	0.5	Ctrl_H2O2
37	5	756.77466759972	0	0.0	Ctrl_H2O2
38	6	447.79559034416826	0	0.0	Ctrl_H2O2
39	6	636.1133207300226	12	12.5	Ctrl_H2O2
40	6	428.24597765104096	0	0.5	Ctrl_H2O2
41	6	3319.3632723632722	0	0.5	Ctrl_H2O2
42	6	580.3487525389951	0	-0.5	Ctrl_H2O2
43	6	470.5473525850365	0	0.5	Ctrl_H2O2
44	6	1474.41617342409	17	16.5	Ctrl_H2O2
45	6	626.0159151193634	0	-0.5	Ctrl_H2O2
46	7	9494.424694589878	4	3.5	Ctrl_H2O2
47	7	18014.407754301894	1	0.5	Ctrl_H2O2
48	7	1017.387012836822	0	0.5	Ctrl_H2O2
49	7	9509.47668418538	7	6.5	Ctrl_H2O2
50	7	896.0212806294137	1	1.5	Ctrl_H2O2
51	7	10298.874960158093	2	2.5	Ctrl_H2O2
52	7	19193.064775897998	0	-0.5	Ctrl_H2O2
53	7	21072.48910139221	0	-0.5	Ctrl_H2O2
54	8	774.153718925421	0	-0.5	Ctrl_H2O2
55	8	4417.479756097561	7	7.0	Ctrl_H2O2
56	8	461.64271157352783	0	0.0	Ctrl_H2O2
57	8	7098.963548740417	4	4.5	Ctrl_H2O2
58	8	17273.319451234416	0	0.5	Ctrl_H2O2
59	8	19932.175463818716	0	0.0	Ctrl_H2O2
60	9	297.22869836801124	0	0.0	Ctrl
61	9	321.5168760778517	0	0.0	Ctrl
62	9	254.14587660988784	0	0.0	Ctrl
63	9	4664.504491541901	2	1.5	Ctrl
64	9	282.2724226296077	0	0.0	Ctrl
65	9	24066.755920758653	7	7.0	Ctrl
