## prominence	m	log(prominece)	log(m)
500	18383	6.214608098422191	9.819181603482871
1000	6126	6.907755278982137	8.72029728739272
1500	3491	7.313220387090301	8.157943507105037
2000	2499	7.600902459542082	7.823645930834952
2500	1918	7.824046010856292	7.559038255443384
3000	1525	8.006367567650246	7.329749689041512
3500	1205	8.160518247477505	7.094234845924755
4000	944	8.294049640102028	6.8501261661455
4500	745	8.411832675758411	6.61338421837956
5000	627	8.517193191416238	6.440946540632921
