## ROI	Slice	EdU	FociPerCell	FociPerCellNoise	Condition
1	1	262.0313958857026	1	1.0	Ctrl_Etoposide
2	1	12955.713195361808	6	5.5	Ctrl_Etoposide
3	1	11622.683530394268	3	3.0	Ctrl_Etoposide
4	1	11457.537579113925	7	6.5	Ctrl_Etoposide
5	1	11341.942461649709	14	14.0	Ctrl_Etoposide
6	1	15047.021586061572	9	9.0	Ctrl_Etoposide
7	1	13350.356890459363	23	23.0	Ctrl_Etoposide
8	1	13821.793637712213	4	4.5	Ctrl_Etoposide
9	1	14072.897641203203	2	2.0	Ctrl_Etoposide
10	1	13986.48146990813	8	7.5	Ctrl_Etoposide
11	1	16230.328110492108	15	14.5	Ctrl_Etoposide
12	2	208.09699078312886	1	1.0	Ctrl_Etoposide
13	2	11105.924723283377	12	12.0	Ctrl_Etoposide
14	2	3200.464412095866	4	4.5	Ctrl_Etoposide
15	2	218.91873342692247	1	0.5	Ctrl_Etoposide
16	2	223.12708066581305	6	6.0	Ctrl_Etoposide
17	2	226.3986642584114	7	7.0	Ctrl_Etoposide
18	2	222.78158944461492	1	0.5	Ctrl_Etoposide
19	2	226.5692293117332	18	17.5	Ctrl_Etoposide
20	2	226.09162982161914	1	1.5	Ctrl_Etoposide
21	2	237.04915286993494	2	2.5	Ctrl_Etoposide
22	2	15782.290188318777	2	2.0	Ctrl_Etoposide
23	2	252.57838953888506	1	1.0	Ctrl_Etoposide
24	3	6422.656399199138	15	15.5	Ctrl_Etoposide
25	3	12948.308355400304	7	7.0	Ctrl_Etoposide
26	3	289.5962574425858	1	0.5	Ctrl_Etoposide
27	3	4224.62309708011	17	17.5	Ctrl_Etoposide
28	3	12814.382156389942	6	6.0	Ctrl_Etoposide
29	3	13876.833343485412	6	6.0	Ctrl_Etoposide
30	3	305.35787000783085	1	0.5	Ctrl_Etoposide
31	3	5903.59984465471	16	15.5	Ctrl_Etoposide
32	3	273.19796163069543	1	1.0	Ctrl_Etoposide
33	3	454.66200242795986	1	1.0	Ctrl_Etoposide
34	3	11205.038664112999	11	11.0	Ctrl_Etoposide
35	3	351.3081641285956	1	0.5	Ctrl_Etoposide
