## prominence	m	log(prominece)	log(m)
500	44826	6.214608098422191	10.710543607203856
1000	16235	6.907755278982137	9.694924684536947
1500	9318	7.313220387090301	9.139703292376742
2000	6600	7.600902459542082	8.794824928014517
2500	5013	7.824046010856292	8.519789817263504
3000	3869	8.006367567650246	8.260751354700513
3500	2993	8.160518247477505	8.0040315078527
4000	2331	8.294049640102028	7.754052639035757
4500	1850	8.411832675758411	7.52294091807237
5000	1444	8.517193191416238	7.275172319452771
