 	ROI	Area/um^2	EdU_Mean	DAPI_Mean	Slice	MeanFocusIntensity	FociCount
129	129	16328	150.809	10135.455	10	6477.000	10
130	130	13564	4.847	10218.378	11	0.000	0
131	131	12389	4.964	11488.900	11	0.000	0
132	132	14190	4.779	8885.745	11	4395.000	1
133	133	15085	5.022	7870.940	11	0.000	0
134	134	15231	4.891	7377.277	11	0.000	0
135	135	12205	4.790	11056.102	11	0.000	0
136	136	12869	5.090	12723.678	11	0.000	0
137	137	14655	5.284	8591.895	11	0.000	0
138	138	16873	4.973	9025.722	11	6418.000	12
139	139	14036	5.014	13132.064	11	0.000	0
140	140	12631	6.156	10935.629	11	0.000	0
141	141	13562	4.937	10495.446	11	0.000	0
142	142	13454	5.320	10902.451	11	0.000	0
143	143	19534	263.127	9399.505	11	6971.462	13
144	144	13816	5.167	9954.540	11	0.000	0
145	145	16334	127.865	10714.128	11	6571.882	17
146	146	13178	4.964	11927.336	11	0.000	0
147	147	14740	6.925	8421.328	12	0.000	0
148	148	16584	275.205	10710.928	12	7660.034	29
149	149	15251	314.401	15044.599	12	6416.200	25
150	150	15633	222.862	11536.294	12	7426.794	34
151	151	14820	192.991	11251.435	12	7839.433	30
152	152	12011	239.211	12653.202	12	6254.000	14
153	153	13691	59.016	12460.879	12	6304.786	14
154	154	11989	7.095	13128.591	12	0.000	0
155	155	12851	5.504	11816.507	12	0.000	0
156	156	12858	5.059	14362.526	12	4228.500	2
157	157	12372	5.427	11978.412	12	0.000	0
158	158	19278	4.867	7362.249	12	0.000	0
159	159	13077	4.926	17563.309	12	0.000	0
160	160	12568	5.082	11652.776	12	4610.000	1
161	161	13567	5.249	20132.970	12	0.000	0
162	162	9113	4.914	17706.456	13	0.000	0
163	163	13487	5.165	11194.278	13	0.000	0
164	164	12137	4.995	12336.581	13	0.000	0
165	165	14854	5.096	17573.233	13	0.000	0
166	166	11579	5.498	20437.049	13	0.000	0
167	167	16026	5.599	12021.214	13	0.000	0
168	168	16857	14.510	10375.425	13	6397.500	10
169	169	16930	90.626	10342.833	13	5309.222	9
170	170	17065	15.190	9749.401	13	5776.375	8
171	171	18072	149.976	10599.599	13	6270.529	17
172	172	13852	5.605	11040.636	13	0.000	0
173	173	13903	5.847	21129.698	13	0.000	0
174	174	14957	5.872	12214.600	13	0.000	0
175	175	18929	5.181	7779.966	13	0.000	0
176	176	16944	5.296	8735.340	13	0.000	0
177	177	11448	5.276	22030.655	13	4008.000	1
178	178	17054	4.143	8434.618	14	0.000	0
179	179	15370	4.770	10105.373	14	0.000	0
180	180	26635	198.675	8727.293	14	6085.833	12
181	181	15310	4.331	10577.476	14	0.000	0
182	182	14131	5.196	14438.982	14	0.000	0
183	183	16963	172.913	11559.125	14	7247.500	22
184	184	15129	5.597	10923.004	14	0.000	0
185	185	15859	121.631	11927.787	14	6559.136	22
186	186	14297	5.289	12448.556	14	0.000	0
187	187	15003	5.160	11734.099	14	0.000	0
