## ROI	Slice	EdU	X	Y	Cy5	FociPerCell	Condition
1	1	6888.768463597711	215.0	141.0	5010	17	Ctrl_Etoposide
1	1	6888.768463597711	218.0	188.0	3825	17	Ctrl_Etoposide
1	1	6888.768463597711	233.0	154.0	5233	17	Ctrl_Etoposide
1	1	6888.768463597711	241.0	214.0	4096	17	Ctrl_Etoposide
1	1	6888.768463597711	246.0	113.0	7935	17	Ctrl_Etoposide
1	1	6888.768463597711	252.0	96.0	10148	17	Ctrl_Etoposide
1	1	6888.768463597711	252.0	102.0	4739	17	Ctrl_Etoposide
1	1	6888.768463597711	286.0	104.0	5264	17	Ctrl_Etoposide
1	1	6888.768463597711	297.0	98.0	4300	17	Ctrl_Etoposide
1	1	6888.768463597711	297.0	149.0	7857	17	Ctrl_Etoposide
1	1	6888.768463597711	304.0	88.0	5176	17	Ctrl_Etoposide
1	1	6888.768463597711	305.0	104.0	4220	17	Ctrl_Etoposide
1	1	6888.768463597711	311.0	158.0	3859	17	Ctrl_Etoposide
1	1	6888.768463597711	312.0	204.0	5493	17	Ctrl_Etoposide
1	1	6888.768463597711	313.0	164.0	3889	17	Ctrl_Etoposide
1	1	6888.768463597711	315.0	112.0	5167	17	Ctrl_Etoposide
1	1	6888.768463597711	321.0	91.0	4168	17	Ctrl_Etoposide
2	1	14645.630352528608	559.0	289.0	3896	2	Ctrl_Etoposide
2	1	14645.630352528608	701.0	197.0	4085	2	Ctrl_Etoposide
3	1	10912.48024256651	656.0	356.0	5201	3	Ctrl_Etoposide
3	1	10912.48024256651	735.0	403.0	5920	3	Ctrl_Etoposide
3	1	10912.48024256651	749.0	340.0	4115	3	Ctrl_Etoposide
4	1	17224.970100296472	383.0	477.0	5305	16	Ctrl_Etoposide
4	1	17224.970100296472	383.0	486.0	4285	16	Ctrl_Etoposide
4	1	17224.970100296472	387.0	480.0	4499	16	Ctrl_Etoposide
4	1	17224.970100296472	398.0	416.0	3998	16	Ctrl_Etoposide
4	1	17224.970100296472	398.0	479.0	5130	16	Ctrl_Etoposide
4	1	17224.970100296472	401.0	520.0	4793	16	Ctrl_Etoposide
4	1	17224.970100296472	403.0	491.0	4220	16	Ctrl_Etoposide
4	1	17224.970100296472	421.0	401.0	6953	16	Ctrl_Etoposide
4	1	17224.970100296472	426.0	391.0	4404	16	Ctrl_Etoposide
4	1	17224.970100296472	426.0	481.0	3998	16	Ctrl_Etoposide
4	1	17224.970100296472	426.0	542.0	4814	16	Ctrl_Etoposide
4	1	17224.970100296472	431.0	469.0	4380	16	Ctrl_Etoposide
4	1	17224.970100296472	446.0	389.0	6065	16	Ctrl_Etoposide
4	1	17224.970100296472	448.0	469.0	8548	16	Ctrl_Etoposide
4	1	17224.970100296472	449.0	500.0	4245	16	Ctrl_Etoposide
4	1	17224.970100296472	468.0	439.0	6879	16	Ctrl_Etoposide
5	1	18706.68931111347	201.0	444.0	4602	26	Ctrl_Etoposide
5	1	18706.68931111347	217.0	495.0	4695	26	Ctrl_Etoposide
5	1	18706.68931111347	219.0	455.0	4052	26	Ctrl_Etoposide
5	1	18706.68931111347	222.0	485.0	4747	26	Ctrl_Etoposide
5	1	18706.68931111347	229.0	499.0	5078	26	Ctrl_Etoposide
5	1	18706.68931111347	231.0	485.0	5636	26	Ctrl_Etoposide
5	1	18706.68931111347	243.0	451.0	5647	26	Ctrl_Etoposide
5	1	18706.68931111347	247.0	446.0	4305	26	Ctrl_Etoposide
5	1	18706.68931111347	261.0	441.0	5019	26	Ctrl_Etoposide
5	1	18706.68931111347	261.0	505.0	5234	26	Ctrl_Etoposide
5	1	18706.68931111347	266.0	490.0	4214	26	Ctrl_Etoposide
5	1	18706.68931111347	268.0	444.0	6821	26	Ctrl_Etoposide
5	1	18706.68931111347	272.0	486.0	8102	26	Ctrl_Etoposide
5	1	18706.68931111347	277.0	469.0	4657	26	Ctrl_Etoposide
5	1	18706.68931111347	281.0	479.0	3889	26	Ctrl_Etoposide
5	1	18706.68931111347	284.0	515.0	4913	26	Ctrl_Etoposide
5	1	18706.68931111347	287.0	436.0	4459	26	Ctrl_Etoposide
5	1	18706.68931111347	288.0	429.0	4185	26	Ctrl_Etoposide
5	1	18706.68931111347	288.0	502.0	4191	26	Ctrl_Etoposide
5	1	18706.68931111347	291.0	420.0	5963	26	Ctrl_Etoposide
5	1	18706.68931111347	296.0	510.0	4369	26	Ctrl_Etoposide
