## ROI	Slice	EdU	FociPerCell	FociPerCellNoise	Condition
95	11	270.29024064171125	0	-0.5	Ctrl
96	11	269.8790338289721	0	0.0	Ctrl
97	11	4123.188837555095	0	0.0	Ctrl
98	11	269.25683285972616	0	0.0	Ctrl
99	11	272.70483749055177	0	0.0	Ctrl
100	11	259.28081845130504	1	1.0	Ctrl
101	11	266.12494611294727	0	-0.5	Ctrl
102	11	258.31311881188117	0	0.0	Ctrl
103	12	1078.4960412095775	12	12.0	Ctrl
104	12	13684.868728940472	40	40.5	Ctrl
105	12	13015.142970252235	39	39.0	Ctrl
106	12	13529.925484949832	36	36.5	Ctrl
107	12	296.2846992527257	0	0.5	Ctrl
108	12	4563.546857840146	19	19.0	Ctrl
109	13	8524.006504206052	38	37.5	Ctrl
110	13	427.21325889741803	0	0.5	Ctrl
111	13	278.90243417125424	0	0.0	Ctrl
112	13	17850.83878142133	6	6.5	Ctrl
113	13	314.9173145240179	3	3.0	Ctrl
114	13	303.0923897781522	0	0.0	Ctrl
115	13	21137.142838800795	34	34.5	Ctrl
116	13	9571.866858075775	38	38.0	Ctrl
117	13	294.3372072752629	0	0.5	Ctrl
118	13	426.798990602158	1	1.0	Ctrl
119	13	7509.922146435042	22	22.5	Ctrl
120	13	431.09614105123086	0	0.0	Ctrl
121	13	18261.53654964068	31	31.5	Ctrl
122	15	1609.5519498377428	12	12.0	Ctrl
123	15	14875.901773533424	29	29.0	Ctrl
124	15	438.5404021937843	0	0.0	Ctrl
125	15	16942.57251387942	14	14.5	Ctrl
126	15	13388.56704288939	16	15.5	Ctrl
127	15	7331.820854205114	39	38.5	Ctrl
128	16	14577.128570604189	19	19.0	shSTN1_Etoposide
129	16	297.8068066028123	0	-0.5	shSTN1_Etoposide
130	16	315.4791782729805	1	1.0	shSTN1_Etoposide
131	16	363.6607780612245	0	0.0	shSTN1_Etoposide
132	16	317.26031463342235	0	0.5	shSTN1_Etoposide
133	16	304.177462348394	0	-0.5	shSTN1_Etoposide
134	16	8259.787645907345	17	16.5	shSTN1_Etoposide
135	16	307.67101733014283	0	-0.5	shSTN1_Etoposide
136	16	310.0027946900888	0	-0.5	shSTN1_Etoposide
137	16	294.65136413973624	1	1.0	shSTN1_Etoposide
138	16	356.14111887104906	0	0.5	shSTN1_Etoposide
139	16	20836.76426930553	7	7.0	shSTN1_Etoposide
140	16	330.7430350704687	25	24.5	shSTN1_Etoposide
141	17	277.11084457771113	0	0.0	shSTN1_Etoposide
142	17	6848.591810834279	16	15.5	shSTN1_Etoposide
143	17	14846.87468186345	19	18.5	shSTN1_Etoposide
144	17	386.8164271541098	0	0.0	shSTN1_Etoposide
145	17	4128.497007935475	33	33.0	shSTN1_Etoposide
146	17	5827.26055558791	41	41.5	shSTN1_Etoposide
147	17	309.6940122583687	0	-0.5	shSTN1_Etoposide
148	17	314.6310660562459	0	-0.5	shSTN1_Etoposide
149	17	282.9606385128309	11	10.5	shSTN1_Etoposide
150	17	288.29818820336817	0	0.0	shSTN1_Etoposide
151	17	303.48885077186964	0	0.0	shSTN1_Etoposide
152	17	290.5305193646261	0	0.5	shSTN1_Etoposide
153	18	17607.66811827957	32	31.5	shSTN1_Etoposide
154	18	8901.152371485374	22	22.0	shSTN1_Etoposide
155	18	13247.762982083206	11	11.0	shSTN1_Etoposide
156	18	16617.695433816312	39	39.5	shSTN1_Etoposide
157	18	351.88190636862083	0	-0.5	shSTN1_Etoposide
158	18	16699.670478786444	30	30.5	shSTN1_Etoposide
159	18	16949.530234914204	22	22.0	shSTN1_Etoposide
160	18	372.81069958847735	0	0.0	shSTN1_Etoposide
161	18	309.4481555333998	0	-0.5	shSTN1_Etoposide
162	18	9401.138919838151	33	32.5	shSTN1_Etoposide
163	19	434.4040302533453	0	0.5	shSTN1_Etoposide
164	19	18345.673037716617	11	11.0	shSTN1_Etoposide
165	19	11740.89073027182	18	18.5	shSTN1_Etoposide
166	19	13780.32423490488	17	17.0	shSTN1_Etoposide
167	19	445.3395573367338	1	1.0	shSTN1_Etoposide
168	19	314.29428660956756	0	0.0	shSTN1_Etoposide
169	19	374.7141050967997	1	1.0	shSTN1_Etoposide
170	19	8165.7176341580425	24	24.0	shSTN1_Etoposide
171	19	7825.719686524925	31	31.0	shSTN1_Etoposide
172	19	3456.8605475954037	23	23.5	shSTN1_Etoposide
173	19	16234.362609856491	32	32.0	shSTN1_Etoposide
174	19	19090.769548108656	29	29.5	shSTN1_Etoposide
175	20	278.0817223664001	0	-0.5	shSTN1_Etoposide
176	20	305.0162785026216	0	-0.5	shSTN1_Etoposide
177	20	4301.552795561246	13	12.5	shSTN1_Etoposide
178	20	8751.59970540787	24	24.0	shSTN1_Etoposide
179	20	18564.51753255411	9	9.0	shSTN1_Etoposide
180	20	12441.581783081783	14	14.0	shSTN1_Etoposide
181	20	418.8978059368767	0	-0.5	shSTN1_Etoposide
182	20	11754.43180105501	22	22.0	shSTN1_Etoposide
183	20	22207.938539553754	16	15.5	shSTN1_Etoposide
184	20	344.43156540818643	0	0.5	shSTN1_Etoposide
