 	ROI	Area/um^2	EdU_Mean	DAPI_Mean	Slice	MeanFocusIntensity	FociCount
1	1	20677	95.748	6468.533	1	5948.857	14
2	2	21720	214.781	9258.256	1	3990.500	2
3	3	20659	151.403	7498.821	1	5078.667	3
4	4	15955	240.198	11362.414	1	5302.357	14
5	5	18962	263.262	9528.234	1	5347.160	25
6	6	13703	6.471	10918.103	1	0.000	0
7	7	19726	9.423	14226.198	1	5526.786	14
8	8	15252	4.077	10317.107	1	4203.000	1
9	9	13277	3.547	10337.550	2	0.000	0
10	10	17871	3.627	12073.125	2	5800.125	16
11	11	15009	3.664	9823.846	2	0.000	0
12	12	21996	3.973	10160.172	2	6307.950	20
13	13	15689	3.701	9226.242	2	0.000	0
14	14	15746	3.603	10818.163	2	0.000	0
15	15	17319	3.785	10494.667	2	5268.286	7
16	16	22086	3.901	11419.545	2	6124.053	19
17	17	15576	3.814	10809.997	2	0.000	0
18	18	15612	3.824	12473.317	2	0.000	0
19	19	22590	3.776	11787.210	2	8357.800	45
20	20	14614	3.922	14949.748	2	0.000	0
21	21	18567	3.632	5794.974	3	0.000	0
22	22	21896	4.473	7739.165	3	6615.053	19
23	23	12412	3.743	9944.772	3	7509.000	1
24	24	13249	3.729	10722.236	3	0.000	0
25	25	23507	103.437	9321.329	3	6059.840	25
26	26	22143	3.751	7688.151	3	6611.000	30
27	27	14797	3.677	9237.215	3	0.000	0
28	28	24144	3.676	8581.351	3	5366.000	12
29	29	25162	3.644	7760.873	3	5413.900	10
30	30	10768	3.880	22156.373	4	0.000	0
31	31	14397	3.738	11018.556	4	0.000	0
32	32	20648	200.327	7811.870	4	5079.692	13
33	33	11556	5.380	22229.960	4	5575.333	3
34	34	14922	3.803	11181.807	4	0.000	0
35	35	14924	4.084	11355.088	4	0.000	0
36	36	14406	6.213	12167.724	4	0.000	0
37	37	19773	249.046	8352.171	4	5450.667	3
38	38	22267	218.447	8578.818	4	4730.600	15
39	39	15730	3.921	7654.171	4	6017.840	25
40	40	22465	5.529	7630.354	5	4607.667	3
41	41	22936	218.183	6760.424	5	5317.871	31
42	42	22897	252.153	7746.228	5	5360.406	32
43	43	15486	268.362	10990.569	5	5763.944	18
44	44	24559	260.588	8331.745	5	5309.750	24
45	45	19978	211.512	7412.940	5	5353.107	28
46	46	18596	226.524	6942.444	5	5809.417	24
47	47	22544	206.984	7938.233	5	5173.538	13
48	48	14928	6.009	8003.238	5	0.000	0
49	49	20203	292.231	8674.106	5	4890.846	13
50	50	21947	146.463	12256.221	6	5994.182	22
51	51	18751	3.674	9718.812	6	8288.000	1
52	52	26963	5.505	11820.424	6	9311.500	2
53	53	22533	184.769	14561.441	6	5902.312	16
54	54	16752	3.831	12906.632	6	0.000	0
55	55	17000	4.045	13519.958	6	3696.000	1
56	56	25466	65.507	14503.846	6	5331.773	22
57	57	17511	4.055	12832.258	6	4545.000	1
58	58	19596	46.753	13875.818	7	6443.182	11
59	59	20952	105.749	10104.570	7	4964.889	9
60	60	21960	132.635	10785.006	7	7297.500	2
61	61	28244	160.101	12004.059	7	5448.676	34
62	62	22139	156.800	12364.800	7	4836.333	6
63	63	26008	4.108	11935.972	7	5903.455	11
64	64	17504	3.745	13371.855	8	5983.000	1
65	65	17386	3.739	11574.960	8	0.000	0
66	66	17583	9.607	12335.915	8	4138.000	1
67	67	18489	42.673	10326.839	8	5063.778	9
68	68	17335	55.808	14125.830	8	5537.800	5
69	69	22308	3.941	15577.842	8	3908.000	1
70	70	17207	3.831	12751.122	8	0.000	0
71	71	19755	3.845	10939.856	8	0.000	0
72	72	17253	3.852	16593.755	8	0.000	0
73	73	15947	3.852	13739.616	8	0.000	0
74	74	12137	3.768	20150.290	8	0.000	0
75	75	18143	3.823	9218.405	9	0.000	0
76	76	21128	3.815	8608.130	9	0.000	0
77	77	17483	94.803	9060.069	9	6201.652	23
78	78	15154	4.376	12143.681	9	0.000	0
79	79	18218	3.779	10635.896	9	0.000	0
80	80	19244	3.853	11263.911	9	0.000	0
81	81	18048	130.807	14321.705	9	6661.629	35
82	82	15824	3.861	12896.150	9	0.000	0
83	83	16858	3.722	15183.042	9	6089.667	3
84	84	19685	3.959	11412.854	9	0.000	0
85	85	17500	3.824	15579.669	9	0.000	0
86	86	17773	3.967	10260.281	9	4684.000	1
87	87	16647	3.646	11257.695	10	0.000	0
88	88	27240	3.935	11693.888	10	5818.625	8
89	89	16769	3.932	14253.348	10	0.000	0
90	90	16286	3.845	14109.318	10	0.000	0
91	91	19443	3.895	11135.933	10	0.000	0
92	92	20207	3.838	10243.570	10	4811.000	1
93	93	25197	3.831	13537.630	10	6082.952	21
94	94	25454	3.768	12712.516	10	5592.353	17
95	95	16367	3.847	19022.428	10	4968.000	1
96	96	14771	3.615	9941.864	11	0.000	0
97	97	23063	107.490	8257.165	11	10341.500	2
98	98	17465	3.672	9572.412	11	0.000	0
99	99	15313	3.833	8408.826	11	0.000	0
100	100	15197	3.796	10845.065	11	0.000	0
101	101	15560	3.777	7857.229	11	0.000	0
102	102	18978	57.729	11522.826	11	0.000	0
103	103	19163	3.776	6812.805	11	0.000	0
104	104	13964	3.638	9297.781	11	5047.000	1
105	105	14110	3.732	15069.348	11	0.000	0
106	106	12274	3.627	8577.998	11	0.000	0
107	107	21233	15.038	7249.001	12	6156.000	12
108	108	21478	193.180	11120.417	12	6543.838	37
109	109	17859	181.133	10201.441	12	7082.526	38
110	110	22574	191.180	11815.224	12	6962.917	36
111	111	16449	4.157	8924.270	12	0.000	0
112	112	16485	63.530	11267.843	12	6688.263	19
113	113	23090	119.219	14214.266	13	7763.757	37
114	114	14500	5.971	14168.875	13	0.000	0
115	115	15134	3.905	14775.832	13	0.000	0
116	116	19398	267.366	14199.217	13	5975.667	3
117	117	19518	4.414	11460.526	13	4957.000	3
118	118	10872	4.239	22503.207	13	0.000	0
119	119	15757	303.540	20216.468	13	7831.529	34
120	120	17798	133.729	17554.244	13	6647.784	37
121	121	17267	4.127	15024.771	13	0.000	0
122	122	11470	5.967	27687.342	13	0.000	0
123	123	18766	105.063	15851.666	13	6486.632	19
124	124	12300	6.113	33996.100	13	0.000	0
125	125	22016	260.740	15327.037	13	8039.903	31
126	126	19848	169.874	4944.581	14	6631.960	25
127	127	15960	5.677	5506.176	14	0.000	0
128	128	18193	22.521	7988.305	15	6422.000	12
129	129	11875	3.890	13174.241	15	0.000	0
130	130	23641	209.601	9248.416	15	7732.379	29
131	131	11174	6.054	13375.894	15	0.000	0
132	132	19078	149.365	8997.679	15	6573.213	47
133	133	20668	249.647	10844.270	15	7458.286	14
134	134	24486	198.286	9324.395	15	8435.000	15
135	135	19819	157.040	6687.351	15	5966.706	34
136	136	22697	102.476	6453.810	15	7774.231	39
137	137	17458	207.333	12192.335	16	5384.312	16
138	138	14822	4.172	24860.099	16	0.000	0
139	139	14454	4.422	23952.534	16	3680.000	1
140	140	15849	5.094	22686.965	16	0.000	0
141	141	10310	4.447	51236.629	16	0.000	0
