 	ROI	Area/um^2	EdU_Mean	DAPI_Mean	Slice	MeanFocusIntensity	FociCount
142	142	15236	4.261	22870.875	16	0.000	0
143	143	13993	114.091	25773.309	16	5766.500	16
144	144	13948	4.312	24437.519	16	0.000	0
145	145	10152	4.358	26775.636	16	0.000	0
146	146	10068	4.137	49139.364	16	3787.000	1
147	147	14144	4.990	23968.589	16	0.000	0
148	148	17098	318.319	13043.529	16	5374.286	7
149	149	15506	4.633	8325.717	16	5738.458	24
150	150	10097	3.885	36793.756	17	0.000	0
151	151	15058	95.335	21613.008	17	5273.467	15
152	152	18092	207.640	18984.194	17	5449.235	17
153	153	16740	5.425	23146.461	17	0.000	0
154	154	15431	57.569	21034.203	17	6333.774	31
155	155	17216	81.336	20757.577	17	6048.000	40
156	156	14973	4.338	24533.474	17	0.000	0
157	157	15390	4.409	24706.136	17	0.000	0
158	158	15114	320.228	6932.272	17	4973.750	8
159	159	24872	3.963	16929.221	17	5444.600	10
160	160	13550	306.924	7285.170	17	5947.000	10
161	161	12633	4.044	27974.035	17	0.000	0
162	162	9490	4.264	43673.394	17	0.000	0
163	163	11286	4.068	41126.149	17	0.000	0
164	164	18685	246.145	16179.645	18	6007.742	31
165	165	14198	123.671	17694.504	18	6116.227	22
166	166	19943	184.792	17190.074	18	5360.364	11
167	167	17428	232.158	20393.692	18	5528.684	38
168	168	16618	4.930	21607.064	18	0.000	0
169	169	17065	234.242	20158.019	18	6033.036	28
170	170	16002	236.160	22283.796	18	5813.636	22
171	171	15003	5.218	27009.660	18	0.000	0
172	172	14082	4.335	25162.891	18	0.000	0
173	173	17143	130.925	19007.939	18	6549.788	33
174	174	18975	6.088	19211.249	19	0.000	0
175	175	15869	256.091	20526.598	19	4529.364	11
176	176	13079	162.533	22586.653	19	5403.556	18
177	177	14656	191.146	21575.613	19	5224.385	13
178	178	11093	6.239	31327.053	19	3876.000	1
179	179	19200	4.408	20529.237	19	0.000	0
180	180	12758	5.254	25899.510	19	6950.000	1
181	181	14707	113.452	22667.812	19	6202.696	23
182	182	13881	108.751	24158.582	19	7396.552	29
183	183	14192	48.111	24540.701	19	6501.696	23
184	184	18033	226.669	20286.575	19	5805.533	30
185	185	15845	266.052	22067.331	19	6001.120	25
186	186	19027	3.906	16238.280	20	0.000	0
187	187	16486	4.274	18899.199	20	0.000	0
188	188	11824	59.700	29595.618	20	5483.917	12
189	189	14398	121.396	20964.043	20	6508.917	24
190	190	22628	278.159	16060.489	20	5203.444	9
191	191	17133	173.740	19670.809	20	4700.071	14
192	192	17174	5.869	19296.751	20	0.000	0
193	193	14698	163.461	22067.903	20	5326.818	22
194	194	14868	318.410	17583.874	20	5080.188	16
195	195	13327	4.831	26472.932	20	0.000	0
196	196	13325	5.355	24745.216	20	0.000	0
197	197	13970	312.139	19391.173	20	5464.077	13
198	198	14631	355.023	11131.577	20	6451.000	13
199	199	17504	41.023	13833.398	21	4713.500	2
200	200	18177	27.309	13711.465	21	5369.000	1
201	201	19110	44.400	14293.765	21	4835.000	6
202	202	18848	133.344	22810.512	21	4685.333	3
203	203	22102	3.945	19841.760	21	4741.000	10
204	204	12086	3.882	26849.405	21	4923.250	4
205	205	15022	3.795	21515.790	21	0.000	0
206	206	13761	3.741	23014.398	21	0.000	0
207	207	17483	3.725	20126.751	21	0.000	0
208	208	11014	3.985	30390.387	21	0.000	0
209	209	12378	3.869	26279.929	21	4339.250	4
210	210	10977	4.017	24706.792	21	0.000	0
211	211	22335	3.792	10071.088	22	0.000	0
212	212	17635	3.803	13942.100	22	0.000	0
213	213	14276	3.681	23074.653	22	0.000	0
214	214	14562	3.841	16140.572	22	0.000	0
215	215	19559	78.926	13998.321	22	5497.000	1
216	216	15076	3.891	13651.642	22	0.000	0
217	217	18450	3.790	16797.482	22	5592.500	2
218	218	19112	65.931	15642.916	22	4751.000	5
219	219	17435	160.929	20761.238	22	5307.800	10
220	220	22932	41.130	11844.031	22	6229.846	13
221	221	20728	101.891	16159.937	22	5442.000	2
222	222	13977	3.925	23615.536	23	0.000	0
223	223	14909	3.811	21320.139	23	0.000	0
224	224	15058	3.694	25340.143	23	5291.000	1
225	225	16260	3.690	20257.657	23	0.000	0
226	226	16949	3.788	20950.141	23	0.000	0
227	227	15962	3.883	22231.029	23	0.000	0
228	228	16921	77.935	19630.843	23	5444.471	17
229	229	14356	39.388	23879.282	23	7323.150	20
230	230	14660	75.475	26918.262	23	5933.071	14
231	231	15953	3.882	21276.485	23	0.000	0
232	232	16243	3.851	20875.297	23	0.000	0
233	233	14912	4.896	7978.179	23	6466.000	18
234	234	15182	4.098	21711.633	23	0.000	0
235	235	17155	3.974	18294.148	24	0.000	0
236	236	20347	16.715	13135.280	24	4430.000	2
237	237	15442	3.929	22132.928	24	0.000	0
238	238	17080	3.967	16176.764	24	0.000	0
239	239	19169	41.134	15148.111	24	0.000	0
240	240	14394	3.957	23434.908	24	0.000	0
241	241	15042	4.031	23400.726	24	0.000	0
242	242	9978	4.167	29544.538	24	0.000	0
243	243	21554	32.173	14230.606	24	0.000	0
244	244	13142	4.125	25533.475	24	0.000	0
245	245	15828	4.279	27412.388	24	4120.000	2
246	246	23361	216.535	20231.578	24	4511.500	4
247	247	17534	201.046	14524.411	25	4065.000	1
248	248	17133	153.308	16336.911	25	5235.667	3
249	249	15566	171.385	18804.463	25	5824.333	3
250	250	15063	40.997	13327.922	25	5789.000	10
251	251	12875	5.333	18316.650	25	0.000	0
252	252	14407	146.852	21532.690	25	0.000	0
253	253	17868	4.058	13021.408	25	0.000	0
254	254	17629	206.251	19836.368	25	5342.250	4
255	255	13794	4.015	18493.662	25	0.000	0
256	256	15097	4.052	17323.325	25	0.000	0
257	257	14886	45.320	13492.182	25	6166.741	27
258	258	15524	3.824	16238.693	25	0.000	0
259	259	17889	4.192	11976.663	25	0.000	0
260	260	15274	4.003	21008.495	25	3788.000	1
261	261	18037	3.941	10260.890	26	4717.250	4
262	262	13835	3.885	15607.938	26	0.000	0
263	263	14149	4.184	13969.649	26	0.000	0
264	264	14077	46.866	25720.607	26	5871.750	16
265	265	16676	3.936	14721.595	26	8009.000	2
266	266	10443	4.273	23640.884	26	0.000	0
267	267	11460	3.873	21407.682	26	0.000	0
268	268	12130	4.053	18389.030	26	0.000	0
269	269	15920	3.854	17712.489	26	0.000	0
270	270	12984	4.770	27265.131	26	0.000	0
271	271	10865	4.241	21958.192	26	0.000	0
272	272	16896	122.131	17357.176	26	7375.524	21
273	273	18251	17.291	13379.680	26	5904.062	16
274	274	15387	4.353	14119.636	26	4944.000	1
275	275	16163	72.411	14560.118	27	6535.667	12
276	276	17968	98.972	15912.701	27	7252.750	24
277	277	18098	268.535	20478.252	27	8330.750	4
278	278	11964	7.626	22372.665	27	0.000	0
279	279	13662	4.695	23844.007	27	0.000	0
280	280	12987	5.276	20218.650	27	0.000	0
281	281	11970	6.375	18703.495	27	0.000	0
282	282	15704	299.015	18917.313	27	8708.412	17
283	283	11441	4.813	25917.050	27	0.000	0
284	284	12522	4.194	19428.569	27	0.000	0
285	285	14283	234.259	24025.271	27	6939.333	18
286	286	7366	182.750	49848.413	27	4670.000	1
287	287	12683	4.847	28364.161	27	0.000	0
288	288	15109	271.901	21273.807	27	6454.222	18
289	289	15463	281.902	21842.501	27	6695.118	17
290	290	11141	3.732	17147.998	28	0.000	0
291	291	14023	3.899	16720.420	28	0.000	0
292	292	10715	4.026	30898.715	28	0.000	0
293	293	18496	47.713	15751.586	28	5665.400	15
294	294	15875	3.795	17348.436	28	0.000	0
295	295	17471	3.756	16346.333	28	5595.667	6
296	296	14993	3.825	16319.223	28	0.000	0
297	297	15582	3.755	17561.813	28	0.000	0
298	298	11549	3.832	22186.625	28	0.000	0
299	299	15838	3.734	11928.455	28	0.000	0
300	300	13372	3.853	19977.044	28	0.000	0
301	301	14044	3.848	16719.155	28	0.000	0
302	302	19785	3.877	10111.124	28	5281.000	2
303	303	12531	4.899	7755.160	29	5849.000	6
304	304	9464	5.026	13912.652	29	0.000	0
305	305	19562	189.086	8530.505	29	6869.667	18
306	306	14898	219.194	17399.191	29	10868.909	11
307	307	13225	56.002	8582.164	29	5548.000	16
308	308	13800	216.560	20219.848	29	10924.143	21
309	309	18794	285.512	13350.126	29	6922.436	39
310	310	19902	139.827	8508.808	29	6299.333	21
311	311	17045	242.026	12114.951	29	6683.619	42
312	312	9426	22.330	21023.754	29	0.000	0
313	313	19920	255.619	16651.531	30	6035.400	5
314	314	12037	3.817	14004.462	30	0.000	0
315	315	6668	4.015	46212.782	30	0.000	0
316	316	21129	228.805	15962.144	30	6284.500	2
317	317	15758	3.740	13799.395	30	0.000	0
318	318	14060	3.860	14590.800	30	0.000	0
319	319	18856	3.845	10279.346	30	0.000	0
320	320	14399	3.938	13681.672	30	0.000	0
321	321	15900	3.814	12912.685	30	0.000	0
322	322	17080	6.236	14034.513	30	0.000	0
323	323	11895	3.904	10031.837	30	0.000	0
324	324	16586	6.106	11966.167	30	4956.000	3
325	325	16960	3.892	10605.204	30	0.000	0
326	326	23247	219.987	15620.951	30	12788.833	6
327	327	10163	4.187	22927.485	30	0.000	0
