## prominence	m	log(prominece)	log(m)
50	19896	3.912023005428146	9.898273985483241
100	6995	4.605170185988092	8.852950887099581
150	3439	5.0106352940962555	8.142936010432265
200	2169	5.298317366548036	7.682021510826875
250	1616	5.521460917862246	7.38770923908104
300	1269	5.703782474656201	7.1459844677143876
350	1056	5.857933154483459	6.962243464266207
400	875	5.991464547107982	6.774223886357614
450	743	6.1092475827643655	6.610696044717759
500	627	6.214608098422191	6.440946540632921
